#x	y	new0_flux	flux_lukas_flux
-0.10472	0.002524	103.408	103.332
-0.10472	0.0025315	110.752	110.637
-0.10472	0.002539	119.578	119.405
-0.10472	0.0025465	129.907	129.66
-0.10472	0.002554	141.764	141.425
-2.66454e-15	0.002464	114.008	113.657
-2.66454e-15	0.0024715	110.503	110.249
-2.66454e-15	0.002479	108.28	108.106
-2.66454e-15	0.0024865	107.365	107.252
-2.66454e-15	0.002494	107.782	107.713
-2.66454e-15	0.0025015	109.555	109.513
-2.66454e-15	0.002509	112.71	112.676
-2.66454e-15	0.0025165	117.27	117.226
-2.66454e-15	0.002524	123.26	123.188
-2.66454e-15	0.0025315	130.702	130.585
-2.66454e-15	0.002539	139.621	139.442
-2.66454e-15	0.0025465	150.04	149.781
-2.66454e-15	0.002554	161.981	161.625
0.10472	0.002464	135.984	135.604
0.10472	0.0024715	132.457	132.177
0.10472	0.002479	130.217	130.019
0.10472	0.0024865	129.29	129.156
0.10472	0.002494	129.699	129.611
0.10472	0.0025015	131.47	131.41
0.10472	0.002509	134.626	134.577
0.10472	0.0025165	139.193	139.137
0.10472	0.002524	145.194	145.112
0.10472	0.0025315	152.653	152.528
0.10472	0.002539	161.593	161.408
0.10472	0.0025465	172.037	171.775
0.10472	0.002554	184.009	183.652
0.20944	0.002464	159.825	159.48
0.20944	0.0024715	156.35	156.1
0.20944	0.002479	154.158	153.984
0.20944	0.0024865	153.274	153.127
0.20944	0.002494	153.651	153.537
0.20944	0.0025015	155.377	155.294
0.20944	0.002509	158.494	158.423
0.20944	0.0025165	163.025	162.949
0.20944	0.002524	168.994	168.896
0.20944	0.0025315	176.425	176.287
0.20944	0.002539	185.342	185.147
0.20944	0.0025465	195.661	195.441
0.20944	0.002554	207.484	207.179
0.314159	0.002464	184.878	184.474
0.314159	0.0024715	181.313	181.026
0.314159	0.002479	179.023	178.828
0.314159	0.0024865	178.045	177.911
0.314159	0.002494	178.402	178.312
0.314159	0.0025015	180.119	180.045
0.314159	0.002509	183.182	183.121
0.314159	0.0025165	187.639	187.574
0.314159	0.002524	193.513	193.426
0.314159	0.0025315	200.828	200.702
0.314159	0.002539	209.606	209.423
0.314159	0.0025465	219.87	219.614
0.314159	0.002554	231.642	231.295
0.418879	0.002464	210.754	210.33
0.418879	0.0024715	207.065	206.744
0.418879	0.002479	204.652	204.418
0.418879	0.0024865	203.542	203.376
0.418879	0.002494	203.756	203.642
0.418879	0.0025015	205.32	205.239
0.418879	0.002509	208.258	208.193
0.418879	0.0025165	212.592	212.525
0.418879	0.002524	218.347	218.261
0.418879	0.0025315	225.545	225.423
0.418879	0.002539	234.21	234.034
0.418879	0.0025465	244.364	244.117
0.418879	0.002554	256.029	255.695
0.523599	0.002464	237.478	237.064
0.523599	0.0024715	233.649	233.306
0.523599	0.002479	231.058	230.804
