#x	y	new0_fix	12_	12a	12b
0.46	2.82743	103.457	102.211	102.147	102.317
0.46	2.93215	90.777	89.4433	89.3783	89.5493
0.46	3.03687	78.8518	77.4295	77.3588	77.5444
0.46	3.14159	67.9206	66.6853	66.6111	66.8055
0.4685	-3.14159	57.183	55.6912	55.6208	55.8092
0.4685	-3.03687	47.8783	46.3423	46.2714	46.461
0.4685	-2.93215	39.5472	38.3106	38.2415	38.4263
0.4685	-2.82743	32.392	31.4007	31.3477	31.4878
0.4685	-2.72271	26.4705	25.5924	25.5447	25.6706
0.4685	-2.61799	21.6918	20.9478	20.9065	21.0151
0.4685	-2.51327	17.8567	17.346	17.3119	17.4014
0.4685	-2.40855	14.8927	14.5763	14.5545	14.6104
0.4685	-2.30383	12.7339	12.5328	12.5173	12.5566
0.4685	-2.19911	11.2371	11.1318	11.1219	11.1467
0.4685	-2.0944	10.2633	10.2264	10.2207	10.2343
0.4685	-1.98968	9.68336	9.68083	9.67791	9.68434
0.4685	-1.88496	9.38357	9.37565	9.36515	9.37897
0.4685	-1.78024	9.2143	9.15578	9.14561	9.16749
0.4685	-1.67552	9.16153	9.0091	8.99724	9.02441
0.4685	-1.5708	9.18875	8.89897	8.88334	8.9214
0.4685	-1.46608	9.38282	9.01918	9.00135	9.0457
0.4685	-1.36136	9.56454	9.00088	8.9763	9.03952
0.4685	-1.25664	9.89272	9.0768	9.03639	9.13659
0.4685	-1.15192	10.4148	9.32617	9.2769	9.40215
0.4685	-1.0472	11.3054	9.91536	9.85553	10.0103
0.4685	-0.942478	12.7018	10.9875	10.9156	11.1038
0.4685	-0.837758	14.7554	12.7006	12.6154	12.8402
0.4685	-0.733038	17.6248	15.2204	15.121	15.3849
0.4685	-0.628319	21.3305	18.7063	18.589	18.8951
0.4685	-0.523599	26.0559	23.2715	23.1409	23.484
0.4685	-0.418879	31.987	29.0319	28.9097	29.2326
0.4685	-0.314159	39.2268	35.9973	35.8636	36.2183
0.4685	-0.20944	47.7758	44.3723	44.2277	44.6122
0.4685	-0.10472	57.4182	54.1974	54.0431	54.4334
0.4685	-2.66454e-15	68.3999	65.044	64.9049	65.2767
0.4685	0.10472	80.2855	77.1919	77.0475	77.4281
0.4685	0.20944	93.1455	90.1048	89.9792	90.3111
0.4685	0.314159	106.612	103.913	103.787	104.121
0.4685	0.418879	120.557	118.033	117.927	118.207
0.4685	0.523599	134.923	132.498	132.396	132.666
0.4685	0.628319	149.395	147.114	147.017	147.274
0.4685	0.733038	163.616	161.522	161.432	161.669
0.4685	0.837758	177.204	175.31	175.227	175.449
0.4685	0.942478	189.731	188.05	187.978	188.172
0.4685	1.0472	200.789	199.375	199.314	199.477
0.4685	1.15192	210.05	208.91	208.861	208.992
0.4685	1.25664	217.201	216.329	216.292	216.392
0.4685	1.36136	221.993	221.371	221.344	221.415
0.4685	1.46608	224.186	223.796	223.777	223.828
0.4685	1.5708	223.738	223.527	223.517	223.544
0.4685	1.67552	220.717	220.633	220.629	220.64
0.4685	1.78024	215.244	215.23	215.229	215.231
0.4685	1.88496	207.488	207.483	207.482	207.486
0.4685	1.98968	197.714	197.655	197.653	197.66
0.4685	2.0944	186.318	186.148	186.141	186.16
0.4685	2.19911	173.666	173.338	173.324	173.361
0.4685	2.30383	160.14	159.615	159.592	159.654
0.4685	2.40855	146.12	145.372	145.338	145.429
0.4685	2.51327	131.968	130.978	130.933	131.054
0.4685	2.61799	118.014	116.772	116.716	116.868
0.4685	2.72271	104.535	103.054	102.984	103.184
0.4685	2.82743	91.6126	90.0695	90.0093	90.2029
0.4685	2.93215	79.1958	77.6109	77.5401	77.7302
0.4685	3.03687	67.7988	66.1692	66.0935	66.2967
0.4685	3.14159	57.183	55.6912	55.6208	55.8092
0.477	-3.14159	50.646	48.7614	48.681	48.8967
0.477	-3.03687	41.5731	39.848	39.7677	39.9831
0.477	-2.93215	33.5126	31.957	31.8879	32.0733
0.477	-2.82743	26.6871	25.2396	25.1747	25.349
0.477	-2.72271	21.0142	19.7323	19.6732	19.8319
0.477	-2.61799	16.2481	15.367	15.3231	15.435
0.477	-2.51327	12.5087	11.7851	11.752	11.8408
0.477	-2.40855	9.67061	9.10835	9.08274	9.15141
0.477	-2.30383	7.59997	7.19308	7.17471	7.22398
0.477	-2.19911	6.16061	5.89394	5.88206	5.91393
0.477	-2.0944	5.17165	5.0375	5.02625	5.05454
0.477	-1.98968	4.56175	4.50811	4.50179	4.51717
0.477	-1.88496	4.21387	4.20551	4.20248	4.20935
0.477	-1.78024	4.04043	4.03851	4.03694	4.04024
0.477	-1.67552	3.97868	3.94226	3.94016	3.94519
0.477	-1.5708	4.06152	3.98213	3.97864	3.98758
0.477	-1.46608	4.13468	3.85286	3.84353	3.96396
0.477	-1.36136	4.24779	3.88502	3.86902	3.91202
0.477	-1.25664	4.50438	3.97842	3.9561	4.01391
0.477	-1.15192	5.00308	4.25965	4.22929	4.30938
0.477	-1.0472	5.85543	4.86562	4.82555	4.93232
0.477	-0.942478	7.1925	5.93275	5.88148	6.0188
0.477	-0.837758	9.15891	7.61163	7.54793	7.71902
0.477	-0.733038	11.8574	10.0014	9.92513	10.1269
0.477	-0.628319	15.4714	13.3173	13.2288	13.4642
0.477	-0.523599	20.1616	17.7137	17.6126	17.8825
0.477	-0.418879	25.8635	23.3251	23.2114	23.5156
0.477	-0.314159	32.7819	30.2259	30.12	30.4045
0.477	-0.20944	41.0176	38.2476	38.1313	38.4438
0.477	-0.10472	50.4442	47.6488	47.5232	47.8589
0.477	-2.66454e-15	60.8868	58.2509	58.1421	58.4327
0.477	0.10472	72.551	69.8265	69.713	70.0164
0.477	0.20944	84.8356	82.4566	82.3585	82.6216
0.477	0.314159	97.9906	95.6123	95.5132	95.7788
0.477	0.418879	111.298	109.327	109.245	109.465
0.477	0.523599	124.965	123.078	122.995	123.218
0.477	0.628319	138.782	136.944	136.865	137.077
0.477	0.733038	152.267	150.594	150.521	150.716
0.477	0.837758	165.135	163.658	163.593	163.768
0.477	0.942478	177.01	175.754	175.698	175.848
0.477	1.0472	187.528	186.505	186.459	186.582
0.477	1.15192	196.345	195.557	195.522	195.617
0.477	1.25664	203.167	202.603	202.578	202.646
0.477	1.36136	207.729	207.339	207.315	207.379
0.477	1.46608	209.81	209.595	209.58	209.619
0.477	1.5708	209.432	209.345	209.338	209.356
0.477	1.67552	206.621	206.606	206.604	206.61
0.477	1.78024	201.424	201.425	201.419	201.433
0.477	1.88496	194.047	194.001	193.996	194.008
0.477	1.98968	184.818	184.663	184.656	184.675
0.477	2.0944	174.054	173.732	173.718	173.754
0.477	2.19911	162.069	161.523	161.499	161.562
0.477	2.30383	149.204	148.429	148.397	148.482
0.477	2.40855	135.881	134.826	134.784	134.898
0.477	2.51327	122.436	121.093	121.038	121.185
0.477	2.61799	109.175	107.549	107.481	107.663
0.477	2.72271	96.3621	94.4744	94.3952	94.6089
0.477	2.82743	83.7798	81.9036	81.8233	82.0396
0.477	2.93215	71.983	69.9396	69.8503	70.0908
0.477	3.03687	60.7653	58.9308	58.8526	59.0623
0.477	3.14159	50.646	48.7614	48.681	48.8967
0.4855	-3.14159	46.9416	44.7455	44.6504	44.9063
0.4855	-3.03687	38.0574	36.0834	35.9981	36.2277
0.4855	-2.93215	30.3704	28.4535	28.3697	28.5953
0.4855	-2.82743	23.8034	22.0403	21.9604	22.1758
0.4855	-2.72271	18.1539	16.7782	16.704	16.8852
0.4855	-2.61799	13.581	12.3919	12.3389	12.4804
0.4855	-2.51327	9.97634	8.97493	8.92763	9.05442
0.4855	-2.40855	7.22204	6.41076	6.37212	6.47567
0.4855	-2.30383	5.19102	4.56826	4.54261	4.61831
0.4855	-2.19911	3.75495	3.32966	3.29392	3.36629
0.4855	-2.0944	2.79743	2.51643	2.50348	2.53819
0.4855	-1.98968	2.20434	2.04654	2.03936	2.05862
0.4855	-1.88496	1.86411	1.79598	1.79299	1.80103
0.4855	-1.78024	1.69228	1.67745	1.67683	1.67848
0.4855	-1.67552	1.62912	1.62878	1.62859	1.62901
0.4855	-1.5708	1.61708	1.56861	1.56623	1.59759
0.4855	-1.46608	1.62605	1.51645	1.51209	1.52326
0.4855	-1.36136	1.73007	1.4908	1.47694	1.51369
0.4855	-1.25664	1.98479	1.57101	1.54985	1.60648
0.4855	-1.15192	2.4738	1.86219	1.83201	1.91306
0.4855	-1.0472	3.30332	2.47976	2.43902	2.54852
0.4855	-0.942478	4.56245	3.55932	3.50671	3.64807
0.4855	-0.837758	6.3932	5.20565	5.14406	5.29401
0.4855	-0.733038	8.97336	7.54215	7.48374	7.64058
0.4855	-0.628319	12.447	10.7585	10.6886	10.8766
0.4855	-0.523599	16.9503	15.0061	14.9243	15.1444
0.4855	-0.418879	22.6039	20.4128	20.3191	20.5712
0.4855	-0.314159	29.3714	27.0835	26.9782	27.2614
0.4855	-0.20944	37.2788	34.9775	34.8822	35.139
0.4855	-0.10472	46.432	43.9466	43.8419	44.1243
0.4855	-2.66454e-15	56.5909	54.2222	54.1091	54.414
0.4855	0.10472	67.6731	65.4517	65.3508	65.6141
0.4855	0.20944	79.6557	77.5515	77.4588	77.7083
0.4855	0.314159	92.14	90.2537	90.1761	90.3854
0.4855	0.418879	105.113	103.423	103.346	103.554
0.4855	0.523599	118.067	116.619	116.558	116.723
0.4855	0.628319	131.109	129.766	129.708	129.864
0.4855	0.733038	143.918	142.711	142.658	142.8
0.4855	0.837758	156.151	155.105	155.058	155.183
0.4855	0.942478	167.453	166.585	166.546	166.651
0.4855	1.0472	177.476	176.795	176.764	176.847
0.4855	1.15192	185.876	185.345	185.312	185.4
0.4855	1.25664	192.309	191.956	191.932	191.996
0.4855	1.36136	196.623	196.423	196.407	196.448
0.4855	1.46608	198.672	198.587	198.579	198.601
0.4855	1.5708	198.388	198.369	198.355	198.382
0.4855	1.67552	195.671	195.673	195.664	195.685
0.4855	1.78024	190.756	190.719	190.711	190.728
0.4855	1.88496	183.829	183.691	183.683	183.704
0.4855	1.98968	175.126	174.843	174.825	174.864
0.4855	2.0944	164.866	164.373	164.348	164.41
0.4855	2.19911	153.484	152.731	152.699	152.784
0.4855	2.30383	141.32	140.275	140.232	140.346
0.4855	2.40855	128.713	127.356	127.302	127.448
0.4855	2.51327	115.984	114.311	114.243	114.425
0.4855	2.61799	103.398	101.437	101.358	101.568
0.4855	2.72271	90.9086	88.9493	88.8695	89.0823
0.4855	2.82743	78.8393	76.6505	76.5614	76.7998
0.4855	2.93215	67.3662	65.2371	65.1404	65.4
0.4855	3.03687	56.6378	54.442	54.3501	54.597
0.4855	3.14159	46.9416	44.7455	44.6504	44.9063
0.494	-3.14159	44.7179	42.4694	42.3768	42.6243
0.494	-3.03687	36.2305	33.9799	33.8873	34.1354
0.494	-2.93215	28.7916	26.6906	26.6002	26.8426
0.494	-2.82743	22.2742	20.4961	20.4204	20.6235
0.494	-2.72271	16.8679	15.2347	15.1651	15.3521
0.494	-2.61799	12.4902	11.0345	10.9724	11.1398
0.494	-2.51327	9.04021	7.78445	7.73089	7.87444
0.494	-2.40855	6.3725	5.36009	5.3164	5.43384
0.494	-2.30383	4.34501	3.6291	3.5946	3.68732
0.494	-2.19911	2.91449	2.45953	2.43379	2.49583
0.494	-2.0944	1.95572	1.66162	1.64953	1.68191
0.494	-1.98968	1.35167	1.17986	1.17267	1.19178
