#x	y	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
-0.837758	0.002524	25.1886	25.1879	25.0695	24.682	24.3728	24.2042
-0.837758	0.0025315	35.1191	35.0029	34.8637	34.4878	34.1683	33.9942
-0.837758	0.002539	47.911	47.7832	47.6301	47.266	46.9358	46.7557
-0.837758	0.0025465	63.6704	63.53	63.3618	63.0098	62.6681	62.4818
-0.837758	0.002554	82.3898	82.2357	82.0511	81.7113	81.3577	81.0599
-0.733038	0.002464	50.7907	50.783	50.7737	50.706	50.6341	50.595
-0.733038	0.0024715	38.172	38.1619	38.1499	38.1436	38.0736	38.0324
-0.733038	0.002479	28.5609	28.5482	28.533	28.525	28.5208	28.4775
-0.733038	0.0024865	21.9568	21.941	21.922	21.912	21.907	21.9042
-0.733038	0.002494	18.358	18.3385	18.3151	18.3028	18.2966	18.2333
-0.733038	0.0025015	17.6924	17.6375	17.5721	17.3662	17.2296	17.1552
-0.733038	0.002509	19.7389	19.6909	19.5103	19.2254	19.0821	19.0042
-0.733038	0.0025165	24.6375	24.637	24.3759	24.0771	23.9268	23.845
-0.733038	0.002524	32.3301	32.2187	31.9752	31.7197	31.3251	31.1098
-0.733038	0.0025315	42.5987	42.3795	42.1166	41.8678	41.4605	41.2383
-0.733038	0.002539	55.7506	55.5142	55.2305	54.9884	54.5678	54.3382
-0.733038	0.0025465	71.8707	71.6157	71.3098	71.0745	70.6399	70.4026
-0.733038	0.002554	90.9514	90.6766	90.3467	90.1183	89.669	89.2364
-0.628319	0.002464	57.252	57.2446	57.2356	57.2309	57.2285	57.1864
-0.628319	0.0024715	45.0204	45.0151	45.0088	44.9825	44.9663	44.9316
-0.628319	0.002479	35.7976	35.7825	35.7135	35.6772	35.659	35.649
-0.628319	0.0024865	29.5613	29.4965	29.4188	29.3781	29.3576	29.3464
-0.628319	0.002494	26.1469	26.1328	26.1158	26.0831	26.0417	26.0179
-0.628319	0.0025015	25.5254	25.5148	25.502	25.4953	25.3181	25.2097
-0.628319	0.002509	27.8999	27.8924	27.8833	27.6844	27.4768	27.3637
