#x	y	12_	12a	12b
0.0210845	2.40855	129.29	129.271	129.323
0.0210845	2.51327	115.751	115.724	115.797
0.0210845	2.61799	102.313	102.275	102.375
0.0210845	2.72271	89.2675	89.2224	89.342
0.0210845	2.82743	76.7258	76.6732	76.8137
0.0210845	2.93215	64.8123	64.7536	64.9107
0.0210845	3.03687	53.9058	53.8425	54.0123
0.0210845	3.14159	44.1028	44.0368	44.2144
0.021738	-3.14159	41.2086	41.1181	41.3394
0.021738	-3.03687	32.9745	32.8965	33.1184
0.021738	-2.93215	25.7614	25.6816	25.8876
0.021738	-2.82743	19.5961	19.5248	19.7198
0.021738	-2.72271	14.5111	14.4454	14.6248
0.021738	-2.61799	10.4201	10.3614	10.5192
0.021738	-2.51327	7.22303	7.17227	7.30882
0.021738	-2.40855	4.80702	4.76475	4.87849
0.021738	-2.30383	3.05228	3.01859	3.10922
0.021738	-2.19911	1.8377	1.81224	1.88065
0.021738	-2.0944	1.04573	1.02747	1.07628
0.021738	-1.98968	0.56946	0.557297	0.589382
0.021738	-1.88496	0.302457	0.293965	0.316656
0.021738	-1.78024	0.12901	0.125159	0.135443
0.021738	-1.67552	0.0425824	0.0416055	0.0442123
0.021738	-1.5708	0.0155386	0.0155386	0.0155386
0.021738	-1.46608	0.0450886	0.0441821	0.0465759
0.021738	-1.36136	0.154514	0.150898	0.160471
0.021738	-1.25664	0.382974	0.376574	0.393513
0.021738	-1.15192	0.754685	0.743611	0.773894
0.021738	-1.0472	1.43423	1.41673	1.46424
0.021738	-0.942478	2.53204	2.5072	2.57415
0.021738	-0.837758	4.16502	4.13166	4.22153
0.021738	-0.733038	6.41509	6.37083	6.49068
0.021738	-0.628319	9.49905	9.44381	9.5971
0.021738	-0.523599	13.4994	13.4411	13.6031
0.021738	-0.418879	18.5099	18.4441	18.6252
0.021738	-0.314159	24.6429	24.5676	24.7822
0.021738	-0.20944	31.967	31.8743	32.1176
0.021738	-0.10472	40.4465	40.3579	40.5969
0.021738	-2.66454e-15	50.012	49.9149	50.1769
0.021738	0.10472	60.55	60.4592	60.7035
0.021738	0.20944	72.0515	71.9574	72.2107
0.021738	0.314159	84.4016	84.3059	84.5635
0.021738	0.418879	97.4	97.3046	97.5614
0.021738	0.523599	110.47	110.376	110.629
0.021738	0.628319	123.542	123.453	123.694
0.021738	0.733038	136.379	136.295	136.519
0.021738	0.837758	148.639	148.564	148.766
0.021738	0.942478	159.975	159.91	160.086
0.021738	1.0472	170.044	169.989	170.137
0.021738	1.15192	178.361	178.319	178.431
0.021738	1.25664	184.691	184.66	184.744
0.021738	1.36136	188.998	188.972	189.042
0.021738	1.46608	191.024	191.007	191.053
0.021738	1.5708	190.811	190.801	190.827
0.021738	1.67552	188.371	188.367	188.378
0.021738	1.78024	183.798	183.798	183.8
0.021738	1.88496	177.247	177.245	177.25
0.021738	1.98968	168.871	168.868	168.875
0.021738	2.0944	158.905	158.898	158.916
0.021738	2.19911	147.561	147.546	147.584
0.021738	2.30383	135.282	135.261	135.314
0.021738	2.40855	122.544	122.517	122.59
0.021738	2.51327	109.632	109.596	109.693
0.021738	2.61799	96.8434	96.798	96.9201
0.021738	2.72271	84.4355	84.3793	84.5286
0.021738	2.82743	72.2625	72.1988	72.3687
0.021738	2.93215	60.9166	60.8467	61.0339
0.021738	3.03687	50.5349	50.4455	50.6606
0.021738	3.14159	41.2086	41.1181	41.3394
0.0223914	-3.14159	39.5137	39.425	39.6637
0.0223914	-3.03687	31.5409	31.4524	31.6891
0.0223914	-2.93215	24.604	24.5176	24.7489
0.0223914	-2.82743	18.7497	18.6675	18.8879
0.0223914	-2.72271	13.9231	13.847	14.0515
0.0223914	-2.61799	10.0463	9.97761	10.1623
0.0223914	-2.51327	7.02374	6.96354	7.12317
0.0223914	-2.40855	4.71936	4.6702	4.80352
0.0223914	-2.30383	3.06578	3.02573	3.13332
0.0223914	-2.19911	1.93555	1.90103	1.99399
0.0223914	-2.0944	1.18627	1.16083	1.22937
0.0223914	-1.98968	0.735633	0.718259	0.765081
0.0223914	-1.88496	0.490471	0.480213	0.508485
0.0223914	-1.78024	0.375993	0.370495	0.385364
