#x	y	new0_fix	flux_lukas
0.494	-1.88496	0.998128	0.991815
0.494	-1.78024	0.814619	0.807984
0.494	-1.67552	0.709566	0.708229
0.494	-1.5708	0.654873	0.653769
0.494	-1.46608	0.664069	0.662771
0.494	-1.36136	0.768561	0.766775
0.494	-1.25664	1.02463	1.02217
0.494	-1.15192	1.51486	1.51091
0.494	-1.0472	2.3451	2.3347
0.494	-0.942478	3.56495	3.55275
0.494	-0.837758	5.40156	5.38622
0.494	-0.733038	7.96121	7.94474
0.494	-0.628319	11.3165	11.2952
0.494	-0.523599	15.6432	15.6007
0.494	-0.418879	21.049	21.0001
0.494	-0.314159	27.651	27.5942
0.494	-0.20944	35.3134	35.2249
0.494	-0.10472	43.9952	43.8985
0.494	-2.66454e-15	53.8925	53.7865
0.494	0.10472	64.5982	64.4871
0.494	0.20944	76.1832	76.0618
0.494	0.314159	88.3161	88.1892
0.494	0.418879	100.824	100.687
0.494	0.523599	113.386	113.214
0.494	0.628319	125.781	125.602
0.494	0.733038	137.946	137.777
0.494	0.837758	149.556	149.389
0.494	0.942478	160.273	160.099
0.494	1.0472	169.769	169.59
0.494	1.15192	177.736	177.553
0.494	1.25664	183.91	183.724
0.494	1.36136	188.069	187.892
0.494	1.46608	189.971	189.818
0.494	1.5708	189.661	189.512
0.494	1.67552	187.161	187.018
0.494	1.78024	182.553	182.434
0.494	1.88496	175.928	175.819
0.494	1.98968	167.633	167.534
0.494	2.0944	157.949	157.861
0.494	2.19911	147.191	147.112
0.494	2.30383	135.626	135.565
0.494	2.40855	123.612	123.561
0.494	2.51327	111.483	111.442
0.494	2.61799	99.414	99.3769
0.494	2.72271	87.3184	87.2888
0.494	2.82743	75.7858	75.7584
0.494	2.93215	64.5894	64.5659
0.494	3.03687	54.3419	54.3194
0.494	3.14159	44.7179	44.7008
0.5025	-3.14159	43.5315	43.5173
0.5025	-3.03687	35.3227	35.2971
0.5025	-2.93215	27.9484	27.9274
0.5025	-2.82743	21.6925	21.6748
0.5025	-2.72271	16.4997	16.4844
0.5025	-2.61799	12.1905	12.1732
0.5025	-2.51327	8.71739	8.70163
0.5025	-2.40855	6.06315	6.04832
0.5025	-2.30383	4.10627	4.09186
0.5025	-2.19911	2.72398	2.70951
0.5025	-2.0944	1.79719	1.78219
0.5025	-1.98968	1.19538	1.19308
0.5025	-1.88496	0.805234	0.803116
0.5025	-1.78024	0.577809	0.575608
0.5025	-1.67552	0.458658	0.456019
0.5025	-1.5708	0.419057	0.415543
0.5025	-1.46608	0.457092	0.452163
0.5025	-1.36136	0.563269	0.556432
0.5025	-1.25664	0.800761	0.79688
0.5025	-1.15192	1.2444	1.23897
0.5025	-1.0472	2.03091	2.02295
0.5025	-0.942478	3.27976	3.26834
0.5025	-0.837758	5.05937	5.0407
0.5025	-0.733038	7.54641	7.51964
0.5025	-0.628319	10.8847	10.8526
0.5025	-0.523599	15.1829	15.1481
0.5025	-0.418879	20.3968	20.3358
0.5025	-0.314159	26.6682	26.6002
0.5025	-0.20944	34.1443	34.068
0.5025	-0.10472	42.6752	42.5947
0.5025	-2.66454e-15	52.1677	52.0773
0.5025	0.10472	62.76	62.6587
0.5025	0.20944	73.8555	73.7175
0.5025	0.314159	85.6977	85.5492
0.5025	0.418879	97.6777	97.5251
0.5025	0.523599	109.945	109.782
0.5025	0.628319	121.818	121.652
0.5025	0.733038	133.412	133.238
0.5025	0.837758	144.486	144.304
0.5025	0.942478	154.721	154.532
0.5025	1.0472	163.763	163.602
0.5025	1.15192	171.316	171.152
0.5025	1.25664	177.158	176.992
0.5025	1.36136	181.09	180.925
0.5025	1.46608	182.981	182.818
0.5025	1.5708	182.686	182.549
0.5025	1.67552	180.27	180.139
0.5025	1.78024	175.869	175.746
0.5025	1.88496	169.649	169.535
0.5025	1.98968	161.759	161.665
0.5025	2.0944	152.513	152.43
0.5025	2.19911	142.244	142.173
0.5025	2.30383	131.263	131.202
0.5025	2.40855	119.874	119.822
0.5025	2.51327	108.35	108.308
0.5025	2.61799	96.4324	96.395
0.5025	2.72271	84.879	84.8501
0.5025	2.82743	73.4775	73.4514
0.5025	2.93215	62.7973	62.7776
0.5025	3.03687	52.7235	52.7046
0.5025	3.14159	43.5315	43.5173
0.511	-3.14159	42.7251	42.7117
0.511	-3.03687	34.5585	34.5449
0.511	-2.93215	27.4743	27.4611
0.511	-2.82743	21.4557	21.4366
0.511	-2.72271	16.2126	16.1907
0.511	-2.61799	11.9518	11.9319
0.511	-2.51327	8.58641	8.56792
0.511	-2.40855	6.00814	5.99032
0.511	-2.30383	4.10169	4.08395
0.511	-2.19911	2.73786	2.73194
0.511	-2.0944	1.78757	1.78485
0.511	-1.98968	1.16474	1.16206
0.511	-1.88496	0.777566	0.774724
0.511	-1.78024	0.552572	0.549275
0.511	-1.67552	0.437972	0.433829
0.511	-1.5708	0.406222	0.400773
0.511	-1.46608	0.452006	0.443417
0.511	-1.36136	0.532182	0.53021
0.511	-1.25664	0.756574	0.75356
0.511	-1.15192	1.21768	1.21269
0.511	-1.0472	2.01314	2.00583
0.511	-0.942478	3.24245	3.22616
0.511	-0.837758	4.95811	4.9475
0.511	-0.733038	7.37323	7.34977
0.511	-0.628319	10.6275	10.5984
0.511	-0.523599	14.838	14.802
0.511	-0.418879	20.0704	20.0119
0.511	-0.314159	26.1741	26.113
0.511	-0.20944	33.3868	33.3174
0.511	-0.10472	41.7743	41.6953
0.511	-2.66454e-15	51.0729	50.9891
0.511	0.10472	61.2393	61.1173
0.511	0.20944	72.1708	72.0447
0.511	0.314159	83.518	83.3818
0.511	0.418879	95.3435	95.2031
0.511	0.523599	107.07	106.921
0.511	0.628319	118.784	118.631
0.511	0.733038	129.842	129.68
0.511	0.837758	140.396	140.228
0.511	0.942478	150.144	149.969
0.511	1.0472	158.787	158.607
0.511	1.15192	166.005	165.852
0.511	1.25664	171.55	171.396
0.511	1.36136	175.273	175.119
0.511	1.46608	177.05	176.898
0.511	1.5708	176.825	176.677
0.511	1.67552	174.503	174.379
0.511	1.78024	170.283	170.168
0.511	1.88496	164.331	164.225
0.511	1.98968	156.861	156.764
0.511	2.0944	148.049	147.97
0.511	2.19911	138.238	138.17
0.511	2.30383	127.747	127.689
0.511	2.40855	116.866	116.817
0.511	2.51327	105.576	105.532
0.511	2.61799	94.1649	94.1273
0.511	2.72271	82.8016	82.768
0.511	2.82743	71.8129	71.7869
0.511	2.93215	61.3681	61.3444
0.511	3.03687	51.5508	51.5331
0.511	3.14159	42.7251	42.7117
0.5195	-3.14159	41.8576	41.8433
0.5195	-3.03687	33.9715	33.9607
0.5195	-2.93215	27.1274	27.1058
0.5195	-2.82743	21.0059	20.9876
0.5195	-2.72271	15.9101	15.8942
0.5195	-2.61799	11.7662	11.7519
0.5195	-2.51327	8.48302	8.46967
0.5195	-2.40855	5.95763	5.94471
0.5195	-2.30383	4.04611	4.03158
0.5195	-2.19911	2.64342	2.62876
0.5195	-2.0944	1.69039	1.67516
0.5195	-1.98968	1.0468	1.04463
0.5195	-1.88496	0.632043	0.630004
0.5195	-1.78024	0.386931	0.38473
0.5195	-1.67552	0.259451	0.25675
0.5195	-1.5708	0.222243	0.218478
0.5195	-1.46608	0.2739	0.268651
0.5195	-1.36136	0.402839	0.395525
0.5195	-1.25664	0.656641	0.650905
0.5195	-1.15192	1.13599	1.13055
0.5195	-1.0472	1.96016	1.95206
0.5195	-0.942478	3.24276	3.23109
0.5195	-0.837758	4.96415	4.94473
0.5195	-0.733038	7.34414	7.32136
0.5195	-0.628319	10.5293	10.5018
0.5195	-0.523599	14.6352	14.6016
0.5195	-0.418879	19.7333	19.6753
0.5195	-0.314159	25.874	25.8092
0.5195	-0.20944	32.9315	32.8634
0.5195	-0.10472	41.0369	40.9601
0.5195	-2.66454e-15	50.2503	50.1638
0.5195	0.10472	60.1218	60.0017
0.5195	0.20944	70.7761	70.6455
0.5195	0.314159	81.8633	81.7289
0.5195	0.418879	93.3153	93.1714
0.5195	0.523599	104.791	104.643
0.5195	0.628319	116.095	115.938
0.5195	0.733038	126.937	126.779
0.5195	0.837758	137.024	136.86
0.5195	0.942478	146.335	146.163
0.5195	1.0472	154.585	154.408
0.5195	1.15192	161.467	161.319
0.5195	1.25664	166.749	166.6
0.5195	1.36136	170.29	170.142
0.5195	1.46608	171.973	171.826
0.5195	1.5708	171.745	171.602
0.5195	1.67552	169.52	169.403
0.5195	1.78024	165.478	165.368
0.5195	1.88496	159.783	159.681
0.5195	1.98968	152.639	152.545
0.5195	2.0944	144.226	144.151
0.5195	2.19911	134.841	134.777
0.5195	2.30383	124.806	124.75
0.5195	2.40855	114.249	114.199
0.5195	2.51327	103.221	103.179
0.5195	2.61799	92.1625	92.1246
0.5195	2.72271	81.0479	81.0185
0.5195	2.82743	70.4379	70.4116
0.5195	2.93215	60.121	60.1011
0.5195	3.03687	50.6724	50.6575
