#x	y	new0	new11a	new11b	new8
0.477	-0.628319	15.4714	15.467	15.4767	15.4089
0.477	-0.523599	20.1616	20.1548	20.1698	20.084
0.477	-0.418879	25.8635	25.8541	25.8747	25.7886
0.477	-0.314159	32.7819	32.7698	32.7965	32.6914
0.477	-0.20944	41.0176	41.0028	41.0355	40.91
0.477	-0.10472	50.4442	50.4379	50.4521	50.3474
0.477	-2.66454e-15	60.8868	60.879	60.8967	60.7753
0.477	0.10472	72.551	72.5418	72.5625	72.4244
0.477	0.20944	84.8356	84.8256	84.8281	84.7235
0.477	0.314159	97.9906	97.9799	97.982	97.8671
0.477	0.418879	111.298	111.287	111.312	111.197
0.477	0.523599	124.965	124.954	124.979	124.858
0.477	0.628319	138.782	138.766	138.795	138.618
0.477	0.733038	152.267	152.252	152.289	152.208
0.477	0.837758	165.135	165.12	165.155	165.082
0.477	0.942478	177.01	176.998	177.028	176.967
0.477	1.0472	187.528	187.517	187.542	187.495
0.477	1.15192	196.345	196.337	196.357	196.326
0.477	1.25664	203.167	203.161	203.175	203.162
0.477	1.36136	207.729	207.717	207.746	207.744
0.477	1.46608	209.81	209.802	209.822	209.842
0.477	1.5708	209.432	209.428	209.439	209.481
0.477	1.67552	206.621	206.619	206.624	206.687
0.477	1.78024	201.424	201.419	201.432	201.507
0.477	1.88496	194.047	194.045	194.05	194.144
0.477	1.98968	184.818	184.818	184.819	184.928
0.477	2.0944	174.054	174.054	174.055	174.174
0.477	2.19911	162.069	162.068	162.069	162.176
0.477	2.30383	149.204	149.204	149.204	149.334
0.477	2.40855	135.881	135.879	135.883	136.012
0.477	2.51327	122.436	122.431	122.442	122.566
0.477	2.61799	109.175	109.166	109.185	109.301
0.477	2.72271	96.3621	96.3477	96.3787	96.481
0.477	2.82743	83.7798	83.7614	83.8013	83.8682
0.477	2.93215	71.983	71.9589	72.0112	72.0634
0.477	3.03687	60.7653	60.7581	60.7732	60.8599
0.477	3.14159	50.646	50.6372	50.6556	50.7071
0.4855	-3.14159	46.9416	46.9279	46.9578	46.9986
0.4855	-3.03687	38.0574	38.0415	38.0764	38.1056
0.4855	-2.93215	30.3704	30.3529	30.3914	30.4099
0.4855	-2.82743	23.8034	23.7901	23.8083	23.8203
0.4855	-2.72271	18.1539	18.1396	18.1581	18.1663
0.4855	-2.61799	13.581	13.5656	13.5939	13.59
0.4855	-2.51327	9.97634	9.96225	9.99326	9.98125
